id,entity_type,name,description,properties,status,organization_id,created_at,updated_at,is_active
001670be-5bfb-4c58-af9a-f1c74d868816,device.esp32,Test ESP32 Device,,"{""name"": ""Test ESP32 Device"", ""config"": {""wifi"": {""ssid"": ""TestNetwork"", ""signalStrength"": -65}, ""alertThresholds"": {""humidity"": {""max"": 70, ""min"": 30}, ""temperature"": {""max"": 30, ""min"": 15}}, ""readingInterval"": 300}, ""status"": ""online"", ""firmware"": {""version"": ""1.0.0"", ""lastUpdate"": ""2024-03-20T10:00:00Z""}, ""hardware"": {""model"": ""ESP32-WROOM-32"", ""sensors"": [{""type"": ""temperature"", ""unit"": ""celsius"", ""range"": {""max"": 125, ""min"": -40}}, {""type"": ""humidity"", ""unit"": ""percent"", ""range"": {""max"": 100, ""min"": 0}}], ""macAddress"": ""24:6F:28:XX:XX:XX""}, ""lastSeen"": ""2024-03-20T10:00:00Z"", ""location"": ""Test Lab"", ""metadata"": {""notes"": ""Test device for schema validation""}, ""batteryLevel"": 85}",active,14902129-a801-437f-93ef-e753839d2f77,2025-08-30 08:54:54.024643+00,2025-08-30 08:54:54.51286+00,t
0ed70e4d-e577-44b0-b976-ecb1b1537d4a,user,Alex Rodriguez,Research Assistant at Acme Research Labs,"{""email"": ""alex.rodriguez@acmeresearch.com"", ""phone"": ""+1-555-1003"", ""title"": ""Research Assistant"", ""is_admin"": false, ""timezone"": ""America/Los_Angeles"", ""department"": ""Research & Development"", ""is_superuser"": false, ""hashed_password"": ""$2b$12$2KKaRCpDxQcm2p99qfGoCerZaHWaNd3/cKiT7QvsyNQ.jslRWV5da""}",active,14902129-a801-437f-93ef-e753839d2f77,2025-08-30 08:54:53.884383+00,2025-08-30 08:54:54.51286+00,t
13ed2b61-e4ab-4ea1-8347-fdff1b10587d,user,Dr. Sarah Johnson,Lead Research Scientist at Acme Research Labs,"{""email"": ""sarah.johnson@acmeresearch.com"", ""phone"": ""+1-555-1001"", ""title"": ""Lead Research Scientist"", ""is_admin"": true, ""timezone"": ""America/Los_Angeles"", ""department"": ""Research & Development"", ""is_superuser"": false, ""hashed_password"": ""$2b$12$2KKaRCpDxQcm2p99qfGoCerZaHWaNd3/cKiT7QvsyNQ.jslRWV5da""}",active,14902129-a801-437f-93ef-e753839d2f77,2025-08-30 08:54:53.884383+00,2025-08-30 08:54:54.51286+00,t
14902129-a801-437f-93ef-e753839d2f77,organization,Default Organization,Default organization for existing entities,"{""city"": ""Default City"", ""name"": ""Default Organization"", ""state"": ""Default State"", ""address"": ""123 Default St"", ""country"": ""Default Country"", ""website"": ""https://default.org"", ""timezone"": ""UTC"", ""description"": ""Default organization for existing entities"", ""postal_code"": ""12345"", ""member_count"": 0, ""contact_email"": ""admin@default.org"", ""contact_phone"": ""+1-555-0000""}",active,,2025-08-30 08:54:53.877244+00,2025-08-30 08:54:53.877244+00,t
1bd37c15-74dd-4002-97c9-cd09466b3b15,user,Dr. Michael Chen,Chief Technology Officer at BioTech Innovations,"{""email"": ""michael.chen@biotechinnovations.com"", ""phone"": ""+1-555-2002"", ""title"": ""Chief Technology Officer"", ""is_admin"": true, ""timezone"": ""America/Los_Angeles"", ""department"": ""Technology"", ""is_superuser"": false, ""hashed_password"": ""$2b$12$2KKaRCpDxQcm2p99qfGoCerZaHWaNd3/cKiT7QvsyNQ.jslRWV5da""}",active,14902129-a801-437f-93ef-e753839d2f77,2025-08-30 08:54:53.884383+00,2025-08-30 08:54:54.51286+00,t
292a7856-7d63-401e-aef9-32966c940fe8,organization,Acme Research Labs,Leading biotechnology research laboratory,"{""city"": ""Research City"", ""state"": ""CA"", ""address"": ""123 Science Blvd"", ""country"": ""USA"", ""founded"": ""2020-01-01"", ""website"": ""https://acmeresearch.com"", ""industry"": ""biotechnology"", ""timezone"": ""America/Los_Angeles"", ""postal_code"": ""90210"", ""member_count"": 25, ""contact_email"": ""info@acmeresearch.com"", ""contact_phone"": ""+1-555-1234""}",active,,2025-08-30 08:54:53.877244+00,2025-08-30 08:54:53.877244+00,t
2e445477-6aad-48c7-9a34-eeabf4db0f38,organization,BioTech Innovations,Innovative biotech startup focusing on fermentation,"{""city"": ""Startup City"", ""state"": ""CA"", ""address"": ""456 Innovation Drive"", ""country"": ""USA"", ""founded"": ""2022-06-01"", ""website"": ""https://biotechinnovations.com"", ""industry"": ""biotechnology"", ""timezone"": ""America/Los_Angeles"", ""postal_code"": ""90211"", ""member_count"": 12, ""contact_email"": ""hello@biotechinnovations.com"", ""contact_phone"": ""+1-555-5678""}",active,,2025-08-30 08:54:53.877244+00,2025-08-30 08:54:53.877244+00,t
5aa58e39-02ef-4575-82d8-1b4a1ac7bff1,project,Sensor Network Deployment,Deploy IoT sensor network for environmental monitoring,"{""tags"": [""iot"", ""sensors"", ""monitoring""], ""budget"": ""$25,000"", ""end_date"": ""2024-05-01"", ""priority"": ""low"", ""settings"": {""alert_thresholds"": {""humidity"": {""max"": 60, ""min"": 40}, ""temperature"": {""max"": 25, ""min"": 15}}, ""data_retention_days"": 180}, ""start_date"": ""2024-03-01"", ""project_lead_id"": null, ""project_metadata"": {""team_size"": 3, ""research_area"": ""iot"", ""funding_source"": ""internal""}, ""actual_completion"": null, ""expected_completion"": ""2024-04-30"", ""progress_percentage"": 60}",active,292a7856-7d63-401e-aef9-32966c940fe8,2025-08-30 08:54:53.887247+00,2025-08-30 08:54:53.887247+00,t
67b3349c-dbee-442f-b9a4-37deae391ee8,project,Fermentation Process Development,Develop new fermentation processes for biofuel production,"{""tags"": [""fermentation"", ""biofuel"", ""process-development""], ""budget"": ""$75,000"", ""end_date"": ""2024-08-01"", ""priority"": ""medium"", ""settings"": {""alert_thresholds"": {""pressure"": {""max"": 1.2, ""min"": 1.0}, ""temperature"": {""max"": 35, ""min"": 25}}, ""data_retention_days"": 730}, ""start_date"": ""2024-02-01"", ""project_lead_id"": null, ""project_metadata"": {""team_size"": 8, ""research_area"": ""biofuels"", ""funding_source"": ""grant""}, ""actual_completion"": null, ""expected_completion"": ""2024-07-15"", ""progress_percentage"": 40}",active,2e445477-6aad-48c7-9a34-eeabf4db0f38,2025-08-30 08:54:53.887247+00,2025-08-30 08:54:53.887247+00,t
7180b744-4db4-4012-8192-afc870b81470,device.esp32,DEMO ESP32 Node 042,,"{""name"": ""DEMO ESP32 Node 042"", ""config"": {""wifi"": {""ssid"": ""Production-Network"", ""signalStrength"": -65}, ""alertThresholds"": {""humidity"": {""max"": 70, ""min"": 30}, ""temperature"": {""max"": 30, ""min"": 15}}, ""readingInterval"": 300}, ""status"": ""online"", ""firmware"": {""version"": ""LMSevo-v0.4"", ""lastUpdate"": ""2024-03-01T00:00:00Z""}, ""hardware"": {""model"": ""ESP32-WROOM-32"", ""sensors"": [{""type"": ""temperature"", ""unit"": ""celsius"", ""range"": {""max"": 125, ""min"": -40}}, {""type"": ""humidity"", ""unit"": ""percent"", ""range"": {""max"": 100, ""min"": 0}}, {""type"": ""pressure"", ""unit"": ""hPa"", ""range"": {""max"": 1100, ""min"": 300}}, {""type"": ""gas_resistance"", ""unit"": ""kOhm"", ""range"": {""max"": 100000, ""min"": 0}}], ""macAddress"": ""24:6F:28:XX:XX:XX""}, ""lastSeen"": ""2024-03-20T10:00:00Z"", ""location"": ""Oven-001-Zone-1"", ""metadata"": {""zone"": 1, ""position"": ""upper-center"", ""installDate"": ""2024-03-01""}, ""batteryLevel"": 85}",active,292a7856-7d63-401e-aef9-32966c940fe8,2025-08-30 08:54:53.88866+00,2025-08-30 08:54:53.88866+00,t
